epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.9726115465164185,0.9920370578765869,691.0,206572.0,0.10203150659799576,0.08047184348106384,0.9631839990615845,7342185.0,18078.0
0,0.9703788161277771,0.982276976108551,1008.0,223151.0,0.145466148853302,0.07372401654720306,0.9462944269180298,7325606.0,17761.0
0,0.9648522138595581,0.9825326800346375,1018.0,264964.0,0.16007353365421295,0.06272462010383606,0.9457066655158997,7283812.0,17732.0
0,0.9641380906105042,0.9777454137802124,1164.0,270222.0,0.1795361042022705,0.0612141378223896,0.9380323886871338,7278520.0,17620.0
0,0.97054123878479,0.9856387376785278,970.0,221960.0,0.1290901154279709,0.07467702031135559,0.9486310482025146,7326684.0,17913.0
0,0.9737356901168823,0.982374370098114,986.0,197770.0,0.1365794986486435,0.08253774046897888,0.9474917650222778,7350979.0,17792.0
0,0.9738272428512573,0.9840477705001831,956.0,197107.0,0.13160637021064758,0.08273689448833466,0.9489725232124329,7351685.0,17779.0
0,0.9715062975883484,0.9840143322944641,1049.0,214578.0,0.130437433719635,0.07613417506217957,0.9439995884895325,7334217.0,17683.0
0,0.9705392718315125,0.9828371405601501,985.0,221960.0,0.14113181829452515,0.07404008507728577,0.9474189877510071,7326834.0,17748.0
0,0.967979371547699,0.9857032299041748,939.0,241378.0,0.13830499351024628,0.06893372535705566,0.9500797390937805,7307339.0,17871.0
0,0.971931517124176,0.9862421751022339,971.0,211438.0,0.12458240240812302,0.07730240374803543,0.9480331540107727,7337404.0,17714.0
0,0.9719674587249756,0.9818698167800903,1151.0,234557.0,0.1411573588848114,0.07748065888881683,0.9447988271713257,8152955.0,19700.0
0,0.973389208316803,0.9817672967910767,1058.0,200320.0,0.13780799508094788,0.08123156428337097,0.9436304569244385,7348437.0,17711.0
0,0.9664394855499268,0.9838118553161621,994.0,252976.0,0.14717847108840942,0.06558515131473541,0.9469866752624512,7295800.0,17756.0
0,0.9636085629463196,0.9835156202316284,982.0,274411.0,0.1521655023097992,0.0609213151037693,0.9477214813232422,7274331.0,17802.0
0,0.971890926361084,0.9841873049736023,1005.0,211711.0,0.1358005553483963,0.07786958664655685,0.9467775225639343,7336933.0,17878.0
0,0.9675032496452332,0.9796783328056335,1103.0,244817.0,0.1615658551454544,0.06733538210391998,0.9412610530853271,7303932.0,17675.0
0,0.9719169735908508,0.9848470687866211,974.0,211545.0,0.13146695494651794,0.07745545357465744,0.9480117559432983,7337247.0,17761.0
0,0.9709404110908508,0.9846424460411072,992.0,218917.0,0.1329243779182434,0.07496080547571182,0.9470424652099609,7329878.0,17740.0
0,0.9691739678382874,0.9857214689254761,973.0,232304.0,0.1308402270078659,0.07102181762456894,0.9480595588684082,7316490.0,17760.0
0,0.970180869102478,0.9849109053611755,949.0,224708.0,0.13493648171424866,0.07363265752792358,0.9495481252670288,7324009.0,17861.0
0,0.9705740213394165,0.9847440719604492,954.0,221728.0,0.13446471095085144,0.0740460753440857,0.948943018913269,7327114.0,17731.0
0,0.9663975238800049,0.9818519949913025,1095.0,281447.0,0.16364094614982605,0.06559031456708908,0.94748455286026,8106065.0,19756.0
0,0.9684218764305115,0.9844188690185547,713.0,157006.0,0.13503694534301758,0.06868898123502731,0.9419994950294495,4825268.0,11580.0
0,0.9667404890060425,0.9825987219810486,731.0,165386.0,0.14471524953842163,0.06524614244699478,0.9404480457305908,4816906.0,11544.0
0,0.9662585258483887,0.9836511015892029,723.0,167801.0,0.13883978128433228,0.06434669345617294,0.9410421848297119,4814503.0,11540.0
0,0.9664655327796936,0.9808971881866455,732.0,166758.0,0.1538371592760086,0.0647335946559906,0.940361738204956,4815535.0,11542.0
0,0.9677655696868896,0.9837368726730347,706.0,160291.0,0.1363167017698288,0.0676310807466507,0.9427552223205566,4821943.0,11627.0
0,0.9679611921310425,0.982088565826416,704.0,159316.0,0.14522087574005127,0.06817490607500076,0.9430420994758606,4822891.0,11656.0
0,0.9704092741012573,0.9827329516410828,741.0,147052.0,0.137487530708313,0.07296992093324661,0.9398343563079834,4835199.0,11575.0
0,0.9680655002593994,0.9831763505935669,709.0,158790.0,0.14053170382976532,0.06770704686641693,0.9420799016952515,4823536.0,11532.0
0,0.9672864675521851,0.9816921949386597,740.0,162650.0,0.14799873530864716,0.06626021862030029,0.9397492408752441,4819635.0,11542.0
0,0.9686167240142822,0.9834128618240356,710.0,156036.0,0.1377289891242981,0.06895872950553894,0.942121148109436,4826265.0,11557.0
0,0.9692931771278381,0.9843116402626038,759.0,169649.0,0.13496285676956177,0.07065068185329437,0.9444200396537781,5366214.0,12897.0
0,0.9601749181747437,0.9809446930885315,511.0,120040.0,0.1536165177822113,0.054021041840314865,0.9306272268295288,2899604.0,6855.0
0,0.9599740505218506,0.9801850318908691,543.0,120616.0,0.15808068215847015,0.053724974393844604,0.9265322685241699,2899003.0,6848.0
0,0.9571253657341003,0.9776824116706848,523.0,129259.0,0.17403894662857056,0.05066210404038429,0.929524302482605,2890330.0,6898.0
0,0.9616942405700684,0.9807652235031128,506.0,115446.0,0.15292002260684967,0.05616599693894386,0.9313991069793701,2904188.0,6870.0
0,0.9617226123809814,0.9807292222976685,534.0,115332.0,0.14902861416339874,0.05582434684038162,0.9273765683174133,2904325.0,6819.0
0,0.9596909284591675,0.9819350838661194,516.0,121500.0,0.15259157121181488,0.05341394245624542,0.9300054311752319,2898139.0,6856.0
0,0.9614821076393127,0.9812122583389282,522.0,116072.0,0.1547701507806778,0.05601054057478905,0.9295451641082764,2903530.0,6887.0
