epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.9886136,0.8941648,2480.0,445.0,0.042774822275377586,0.5921173,0.20665388,253314.0,646.0,0.9900823,0.945937,2133.0,226.0,0.03173049160534572,0.7575107,0.24867912,234793.0,706.0
1,0.9917629,0.9642222,1654.0,462.0,0.026199056324495092,0.76111686,0.47088933,253297.0,1472.0,0.9924493,0.9408794,1606.0,190.0,0.026091844740191102,0.8664793,0.43430784,234829.0,1233.0
0,0.98850846,0.9011,2564.0,388.0,0.0429180532955892,0.5920084,0.18004477,253370.0,563.0,0.9900697,0.94695306,2130.0,232.0,0.03169803826551953,0.7534538,0.24973582,234787.0,709.0
1,0.9916772,0.96543354,1692.0,446.0,0.02648789290838808,0.76289207,0.4589063,253312.0,1435.0,0.9930631,0.97600096,1219.0,431.0,0.02096028297894246,0.7898586,0.57062346,234588.0,1620.0
0,0.98857075,0.90178895,2533.0,403.0,0.04253272968926546,0.5912779,0.18709885,253366.0,583.0,0.98965347,0.97311985,1595.0,866.0,0.030092881100236467,0.58957344,0.43818247,234153.0,1244.0
1,0.9918057,0.96504587,1654.0,451.0,0.025945878015251434,0.7642446,0.46919128,253318.0,1462.0,0.99263006,0.95008665,1574.0,179.0,0.024746529952863774,0.8760388,0.44557944,234840.0,1265.0
0,0.9886525,0.90083456,2522.0,393.0,0.04257675477850807,0.59232366,0.18461041,253399.0,571.0,0.99002767,0.95265675,2157.0,215.0,0.0316467041102656,0.76031214,0.24022543,234804.0,682.0
1,0.9918212,0.9654594,1673.0,428.0,0.02630451023796618,0.7683983,0.4591012,253364.0,1420.0,0.9930211,0.9519696,1374.0,286.0,0.023792590501864077,0.83666474,0.5160268,234733.0,1465.0
0,0.98836833,0.9034216,2530.0,458.0,0.04302279908367166,0.5735568,0.1958042,253281.0,616.0,0.9902967,0.9675383,1675.0,633.0,0.028866879602717152,0.64774626,0.4100035,234386.0,1164.0
1,0.9917629,0.9665859,1663.0,453.0,0.026210974619324715,0.7660124,0.47139224,253286.0,1483.0,0.99322706,0.9873306,914.0,697.0,0.023606165880803765,0.7341724,0.67805564,234322.0,1925.0
0,0.9889834,0.903769,2468.0,362.0,0.0420275537209557,0.63836163,0.20566463,253416.0,639.0,0.98951477,0.9179426,2422.0,72.0,0.03776718074997533,0.85276073,0.1468827,234947.0,417.0
1,0.99197304,0.9644611,1626.0,436.0,0.026383286659699936,0.7725613,0.4766656,253342.0,1481.0,0.99343306,0.9796965,1277.0,285.0,0.020719934245128382,0.84569573,0.5501937,234734.0,1562.0
0,0.9887654,0.90056986,2503.0,383.0,0.04199366027900684,0.60556126,0.1902297,253411.0,588.0,0.99072975,0.9729882,1740.0,465.0,0.029252624410491677,0.7026854,0.38710815,234554.0,1099.0
1,0.99204314,0.9639313,1607.0,437.0,0.026249899997844387,0.77251434,0.48010352,253357.0,1484.0,0.993185,0.98620176,1071.0,550.0,0.022053976624182136,0.7627265,0.6227545,234469.0,1768.0
0,0.9885747,0.9017521,2514.0,421.0,0.042351659531491906,0.586444,0.19189972,253353.0,597.0,0.99051535,0.97475886,1604.0,652.0,0.029157731494611643,0.654478,0.43501234,234367.0,1235.0
1,0.9920081,0.9662893,1596.0,457.0,0.02542075543301679,0.7682556,0.4869817,253317.0,1515.0,0.9935045,0.98358715,1057.0,488.0,0.020389742217755837,0.785022,0.6276858,234531.0,1782.0
0,0.9886253,0.9040816,2551.0,371.0,0.04224633986553093,0.6002155,0.17921492,253407.0,557.0,0.99045646,0.9582216,1952.0,318.0,0.030111698435948506,0.7360996,0.31243396,234701.0,887.0
1,0.99172395,0.9664979,1679.0,447.0,0.026675026530466765,0.7617271,0.4597812,253331.0,1429.0,0.992609,0.9847725,982.0,776.0,0.02324624505109376,0.7052792,0.6541036,234243.0,1857.0
0,0.98843455,0.89602774,2544.0,427.0,0.043237257145183436,0.5759682,0.18565941,253335.0,580.0,0.98994356,0.93844175,2200.0,192.0,0.03281019102969755,0.7689531,0.22507925,234827.0,639.0
1,0.9919264,0.9679295,1628.0,446.0,0.02526773578339839,0.77033985,0.47887325,253316.0,1496.0,0.9924997,0.92118895,1620.0,164.0,0.02839477395180633,0.8814172,0.42937654,234855.0,1219.0
