epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
3,0.99951506,0.9837901,288.0,79.0,0.0018729379141084635,0.9526946,0.84672695,754794.0,1591.0
0,0.9987208,0.9110397,782.0,186.0,0.006007441537785318,0.852498,0.5788907,754709.0,1075.0
1,0.99917144,0.97495705,413.0,214.0,0.002996522449624354,0.8709288,0.77759826,754681.0,1444.0
2,0.99944896,0.9809063,307.0,110.0,0.0020714940668313205,0.93373495,0.8346796,754785.0,1550.0
3,0.99953485,0.98471904,260.0,92.0,0.0017624494379175422,0.9455299,0.8599892,754803.0,1597.0
0,0.99870497,0.9135282,779.0,201.0,0.006086164369778133,0.845977,0.58629847,754668.0,1104.0
1,0.99915034,0.97283787,431.0,212.0,0.003124575582536754,0.87259614,0.77110994,754657.0,1452.0
2,0.99942255,0.98270285,341.0,96.0,0.0021821730629795794,0.94139194,0.818906,754773.0,1542.0
3,0.9995256,0.98621666,270.0,89.0,0.0018298012845803613,0.9477086,0.8566118,754780.0,1613.0
0,0.9987116,0.9173292,764.0,211.0,0.005909391853540839,0.8381902,0.5885837,754684.0,1093.0
1,0.99921244,0.97878844,400.0,196.0,0.002840126730298199,0.8814277,0.7845988,754699.0,1457.0
2,0.99947804,0.98465747,297.0,98.0,0.002026915980938662,0.94089264,0.84006464,754797.0,1560.0
3,0.99950975,0.9855365,270.0,101.0,0.0017925141825619103,0.9401659,0.8546042,754794.0,1587.0
0,0.99876446,0.91377056,772.0,163.0,0.005964636687547659,0.8723571,0.5906681,754703.0,1114.0
1,0.99912786,0.97198176,442.0,218.0,0.0034112859375021623,0.8688327,0.76564157,754648.0,1444.0
2,0.9992587,0.97831154,367.0,194.0,0.0027270087193908606,0.8867484,0.8054083,754672.0,1519.0
3,0.9994357,0.9830279,287.0,140.0,0.002082939542923624,0.919494,0.84782606,754726.0,1599.0
0,0.9987816,0.9173869,758.0,164.0,0.005874260149426289,0.8723735,0.5965939,754709.0,1121.0
1,0.9991239,0.9730147,433.0,230.0,0.003240614184765009,0.8627685,0.76955825,754643.0,1446.0
2,0.99930096,0.9764247,347.0,182.0,0.002628558018407227,0.89381564,0.8153273,754691.0,1532.0
3,0.9994556,0.9837701,296.0,116.0,0.0020164538933512776,0.93172455,0.8424694,754757.0,1583.0
0,0.99869573,0.91708755,783.0,204.0,0.006008399152975845,0.8446306,0.5861522,754657.0,1109.0
1,0.9991067,0.97268516,418.0,258.0,0.0032853372148730843,0.8510393,0.7790698,754603.0,1474.0
2,0.99933267,0.98061335,347.0,158.0,0.0024678059792904057,0.90722257,0.8165962,754703.0,1545.0
3,0.9994622,0.9849579,303.0,104.0,0.0019420876821197987,0.93857056,0.83985204,754757.0,1589.0
0,0.99880016,0.9102876,742.0,166.0,0.005937995670986013,0.8690852,0.5976139,754743.0,1102.0
1,0.99911594,0.9730258,432.0,237.0,0.0032124995320427017,0.8562765,0.7657267,754672.0,1412.0
2,0.99928117,0.9803546,354.0,190.0,0.002486490393711981,0.8869048,0.808026,754719.0,1490.0
3,0.9995018,0.9867645,264.0,113.0,0.001846710259335468,0.9332546,0.856833,754796.0,1580.0
0,0.99873275,0.91898715,770.0,189.0,0.005850285280933818,0.8543914,0.5902076,754685.0,1109.0
1,0.9990631,0.9738315,454.0,255.0,0.0033159770837172526,0.84821427,0.75838214,754619.0,1425.0
2,0.99936837,0.97969764,344.0,134.0,0.00237979688861408,0.9197124,0.8169239,754740.0,1535.0
3,0.99950314,0.9824565,280.0,96.0,0.0019205603051817264,0.94336283,0.8509846,754778.0,1599.0
0,0.99872875,0.9119864,771.0,191.0,0.005994577392338563,0.8533026,0.5903294,754680.0,1111.0
1,0.9991384,0.9739414,424.0,228.0,0.0031162810357445885,0.8647687,0.77470773,754643.0,1458.0
2,0.99942917,0.9840518,321.0,111.0,0.0020912015385740725,0.93361247,0.8294368,754760.0,1561.0
3,0.9995322,0.984136,260.0,94.0,0.001774335838310586,0.9452214,0.86184907,754777.0,1622.0
0,0.99880713,0.9231382,800.0,203.0,0.005513464533019347,0.86329967,0.61575407,838551.0,1282.0
1,0.9991342,0.97181624,470.0,258.0,0.003195526628269822,0.86203206,0.7742555,838496.0,1612.0
2,0.9993423,0.9821483,362.0,191.0,0.0023803974838635484,0.9000523,0.8261287,838563.0,1720.0
3,0.9995231,0.9829925,279.0,122.0,0.0018073134640532473,0.9366234,0.8659942,838632.0,1803.0
